,Unnamed: 0,authorDisplayName,authorChannelUrl,videoId,published_at,updated_at,like_count,text
0,96,Jeff-oo9br,Jeff-oo9br,OfraXhBuybk,2024-02-07T10:18:19Z,2024-02-07T10:18:19Z,34,"As an apple fanboy, I have to say the camera quality of this really impressive! If it wasn’t for the whole apple ecosystem that I’ve already got used to, I will just switch to Samsung in a heartbeat!! 📱 Thanks for the review, great one as usual 👌"
1,0,AndrewEthanZeng,AndrewEthanZeng,OfraXhBuybk,2024-02-07T11:31:36Z,2024-02-07T11:31:36Z,20,"If you bought an S24 Ultra or Plus, how are you liking the phone? I did not expect to like my first Samsung phone this much. There are a few things that could be improved (shutter lag!) but it’s still one of the best phones on the market."
2,82,FireBeeFPV,FireBeeFPV,OfraXhBuybk,2024-02-07T13:56:35Z,2024-02-07T13:56:35Z,16,"There is a setting to make the camera faster. Go to camera settings and there is a feature where it analysis the scene and enhances the image... There are 3 options to change the enhancement level and an option to turn of enhancements all together, making the camera instant. The options uses AI to analyze he scene and enhance the image i.e food photo or landscape or portrait."
3,81,FireBeeFPV,FireBeeFPV,OfraXhBuybk,2024-02-07T13:59:19Z,2024-02-07T13:59:19Z,15,"Even though you turned Atmos on, use the EQ setting to manually adjust the audio to suit your ears (or to make it sound like your Iphone 15). Samsung packs heaps of audio settings into their phones, spent some time in the sound settings to get the best results!"
4,93,old-school-old,old-school-old,OfraXhBuybk,2024-02-07T11:18:34Z,2024-02-07T11:18:34Z,12,"<a href=""https://www.youtube.com/watch?v=OfraXhBuybk&amp;t=655"">10:55</a> Nothing will replace the Nokia 3310 if I say so myself"
5,65,carloskreek7419,carloskreek7419,OfraXhBuybk,2024-02-07T16:09:02Z,2024-02-07T16:09:02Z,8,"Ultra man!<br>The reason I finally upgraded my old Samsung to this S24 ultra was it finally felt worthy of it! <br>The thing that keeps me with Samsung is that you can do the Samsung ecosystem, but you&#39;re not tied to it like with apple because it&#39;s universal. That&#39;s the selling point for me."
6,86,Azu10157,Azu10157,OfraXhBuybk,2024-02-07T12:58:59Z,2024-02-07T12:58:59Z,7,There&#39;s settings in the camera app that lets you put processing over shutter speed as priority or vice versa
7,34,roseviv454,roseviv454,OfraXhBuybk,2024-02-07T23:03:40Z,2024-02-07T23:03:40Z,5,Nice review.  Brought up a lot of good points that I haven&#39;t seen it brought up elsewhere!
8,95,nikhllogic1248,nikhllogic1248,OfraXhBuybk,2024-02-07T10:36:33Z,2024-02-07T10:36:33Z,5,"The S23 Ultra is the best Android phone released this year.The Samsung folding phones may look cool, but if you keep a phone for 2/3 years would they survive general wear and tear? At the end of the day the Ultra has much better cameras and the brilliant S Pen built <a href=""http://in.plus/"">in.Plus</a> no crease in the middle of a great screen."
9,76,andycuyler6675,andycuyler6675,OfraXhBuybk,2024-02-07T14:21:21Z,2024-02-07T14:21:21Z,5,"I purchased the s24 ultra last week, I have sold my iphone 15 pro max and apple watch ultra. I was stuck in the apple eco system but have now escaped I still have my m3 mac and ipad pro. the samsung phone has so many more feature and way more custimisable glad I made the move !"
