,text,given_label,suggested_label
0,My S24 ultra has washed out colours compared to my s23 ultra ... not sure why tech &quot;influencers&quot; aren&#39;t talking about this.,negative,positive
1,"As an apple fanboy, I have to say the camera quality of this really impressive! If it wasn’t for the whole apple ecosystem that I’ve already got used to, I will just switch to Samsung in a heartbeat!! 📱 Thanks for the review, great one as usual 👌",positive,positive
2,Anti-reflection screen is one of key features of S24U<br>how didn&#39;t you notice?,neutral,positive
3,"If you bought an S24 Ultra or Plus, how are you liking the phone? I did not expect to like my first Samsung phone this much. There are a few things that could be improved (shutter lag!) but it’s still one of the best phones on the market.",positive,positive
4,All the S23 Ultra needs is updates to improve colours &amp; skintones. The S24U is fine for people upgrading from the S22 series and below. Not a significant uograde on the S23U.,positive,positive
5,Ordered the titanium grey yesterday now waiting to receive it,neutral,neutral
6,"i have owned every note phone, except the 7.  i had a s22,23, and now i will have a s24 ultra.  long live the note range in whatever forms it may take",positive,negative
7,"The washed out colours are caused by the enhanced eye comfort settings which are on by default making the screen look lighter and washed out.. goto settings, display, eye comfort shield turn on but turn enhanced comfort off and your screen will be normal",positive,positive
8,I think nowadays people miss out the entire point of s24 ultra. The phone was the replacement of Note series. The most business oriented professional work phone. I&#39;ve had times at the airport or standing in a bus where I made full on presentations on my note. I extensively used the note for reading and annotating my thoughts using the s pen and that&#39;s where the core strengths of this device lies. Which is also why it&#39;s so much more expensive as well. Because serves not only as the iPhone Pro Max rival but also the rival of an iPad Mini WITH an apple pencil.<br><br>Edit:  I&#39;m upgrading to this one. Already preordered it. Upgrading from my old note 8. Can&#39;t wait to see the gains.,positive,positive
9,"There is a setting to make the camera faster. Go to camera settings and there is a feature where it analysis the scene and enhances the image... There are 3 options to change the enhancement level and an option to turn of enhancements all together, making the camera instant. The options uses AI to analyze he scene and enhance the image i.e food photo or landscape or portrait.",neutral,positive
10,"Even though you turned Atmos on, use the EQ setting to manually adjust the audio to suit your ears (or to make it sound like your Iphone 15). Samsung packs heaps of audio settings into their phones, spent some time in the sound settings to get the best results!",positive,positive
11,Already got the 512gb titanium grey ❤,neutral,positive
12,"Are you guys happy with the battery life, cameras and durability of s24 ultra and are you going to update to s24 ultra?",positive,neutral
13,I just got my S24 ultra titanium grey ❤ just love to hold the majestic device in hands 🎉,positive,positive
14,This reviewer is NOT a tech enthusiast. It shows in all of her reviews. There is nothing you get out of her videos as she&#39;s just reciting the marketing script. She is just not interested in the subject matter.,negative,positive
15,S24 ultra display is very washed out.. Less vibrant... Less saturated.. Less contrast compared to  s23 ultra. The display is a huge downgrade. Eveything looks very dull and washed out 😢,negative,positive
16,Still waiting for my S24U violet which feels like it is taking forever,neutral,neutral
17,Why is the reviewer trying to advocate to gatekeep software features? Tf?,neutral,positive
18,"The S24 is faulty, vivid colour mode doesn&#39;t work on all S24 phones.<br>Samsung need to sort this out fast.",positive,positive
19,The ultra isn&#39;t a separate device it&#39;s one of the 3 s24 devices so they all should have the AI features.  The ultra already has exclusive camera features and the whole suite related to the s-pen.,positive,positive
20,Getting from a iPhone 11 pro max<br>Used to always love android and happy to be back,positive,positive
21,"cannot wait. I&#39;m also excited the flip 5&#39;s getting some of the AI stuff. I&#39;ve missed the note series, so getting my first Ultra will be a return to form.",positive,positive
22,"Ultra man!<br>The reason I finally upgraded my old Samsung to this S24 ultra was it finally felt worthy of it! <br>The thing that keeps me with Samsung is that you can do the Samsung ecosystem, but you&#39;re not tied to it like with apple because it&#39;s universal. That&#39;s the selling point for me.",positive,positive
